cik,ticker,name,is_known_case,logical_input,tag_used,taxonomy,unit,fiscal_year,period_start,period_end,value,filed,accn,form
18230,CAT,Caterpillar,False,current_assets,AssetsCurrent,us-gaap,USD,2018,,2018-12-31,38603000000.0,2019-02-14,0000018230-19-000034,10-K
18230,CAT,Caterpillar,False,current_assets,AssetsCurrent,us-gaap,USD,2019,,2019-12-31,39193000000.0,2020-02-19,0000018230-20-000056,10-K
18230,CAT,Caterpillar,False,current_assets,AssetsCurrent,us-gaap,USD,2020,,2020-12-31,39464000000.0,2021-02-17,0000018230-21-000063,10-K
18230,CAT,Caterpillar,False,current_assets,AssetsCurrent,us-gaap,USD,2021,,2021-12-31,43455000000.0,2022-02-16,0000018230-22-000050,10-K
18230,CAT,Caterpillar,False,current_assets,AssetsCurrent,us-gaap,USD,2022,,2022-12-31,43785000000.0,2023-02-15,0000018230-23-000011,10-K
18230,CAT,Caterpillar,False,current_assets,AssetsCurrent,us-gaap,USD,2023,,2023-12-31,46949000000.0,2024-02-16,0000018230-24-000009,10-K
18230,CAT,Caterpillar,False,current_assets,AssetsCurrent,us-gaap,USD,2024,,2024-12-31,45682000000.0,2025-02-14,0000018230-25-000008,10-K
18230,CAT,Caterpillar,False,current_assets,AssetsCurrent,us-gaap,USD,2025,,2025-12-31,52485000000.0,2026-02-13,0000018230-26-000008,10-K
18230,CAT,Caterpillar,False,current_liabilities,LiabilitiesCurrent,us-gaap,USD,2009,,2009-12-31,19292000000.0,2010-02-19,0000018230-10-000092,10-K
18230,CAT,Caterpillar,False,current_liabilities,LiabilitiesCurrent,us-gaap,USD,2010,,2010-12-31,22020000000.0,2011-02-22,0001104659-11-008938,10-K
18230,CAT,Caterpillar,False,current_liabilities,LiabilitiesCurrent,us-gaap,USD,2011,,2011-12-31,28561000000.0,2012-02-21,0001104659-12-011331,10-K
18230,CAT,Caterpillar,False,current_liabilities,LiabilitiesCurrent,us-gaap,USD,2012,,2012-12-31,29755000000.0,2013-02-19,0000018230-13-000075,10-K
18230,CAT,Caterpillar,False,current_liabilities,LiabilitiesCurrent,us-gaap,USD,2013,,2013-12-31,27297000000.0,2014-02-18,0000018230-14-000058,10-K
18230,CAT,Caterpillar,False,current_liabilities,LiabilitiesCurrent,us-gaap,USD,2014,,2014-12-31,27877000000.0,2015-02-17,0000018230-15-000061,10-K
