cik,ticker,name,is_known_case,fiscal_year,f_roa,f_cfo,f_droa,f_accrual,f_dleverage,f_dliquidity,f_neqissue,f_dmargin,f_dturnover,fscore,fscore_available,fscore_missing_inputs,DSRI,GMI,AQI,SGI,DEPI,SGAI,TATA,LVGI,mscore,mscore_flag,mscore_available,mscore_missing_inputs,accruals,asset_growth,filing_date,source_form
909832,COST,Costco,False,2021,1.0,1.0,,1.0,,0.0,0.0,0.0,,,6,,0.9900560851618566,1.015601672839982,1.044278289524333,1.174909001505148,0.995357045003722,0.9620809601105745,-0.06666329216440575,1.0467260856049507,-2.6282122990748222,False,8,,-0.06666329216440575,0.06681546547627619,2021-10-06,10-K
909832,COST,Costco,False,2022,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,7.0,9,,1.0730180071087434,1.0605868174976711,1.0051190925896025,1.1583481771458028,0.9845836309604383,0.9249323909019176,-0.024124925973256866,0.9837141523091538,-2.3339352165095715,False,8,,-0.024124925973256866,0.08264156036984545,2022-10-05,10-K
909832,COST,Costco,False,2023,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,6.0,9,,0.9550952812676914,0.9909482660422108,0.8764620857834252,1.0675731646060436,0.9911103158257171,1.0224702096387877,-0.06922341073136795,0.9415750793908654,-2.8254042907891392,False,8,,-0.06922341073136795,0.07524234018015771,2023-10-11,10-K
909832,COST,Costco,False,2024,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,9,,1.133888241719456,0.9719627963567316,1.0067571471467402,1.0502001733459903,1.0094400296855575,1.0060059684250129,-0.05688018215405766,1.0462905103512303,-2.6053448114087905,False,8,,-0.05688018215405766,0.012131489694756066,2024-10-09,10-K
909832,COST,Costco,False,2025,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,8.0,9,,1.0882591133391626,0.982101403703705,0.9412531879283822,1.0816732363147614,1.0125074951956003,1.0118767023583777,-0.06791268369239549,0.9400439307427622,-2.6578955030643288,False,8,,-0.06791268369239549,0.10407984992338647,2025-10-08,10-K
858877,CSCO,Cisco,False,2010,,1.0,,,,,,,,,1,,,,,,,,-0.0296561074818193,,,,1,depreciation,-0.0296561074818193,,2010-09-21,10-K
858877,CSCO,Cisco,False,2011,1.0,1.0,,1.0,,1.0,1.0,0.0,,,6,,0.8830465496345482,1.0373579955602883,0.9380185564268474,1.0793706293706293,,0.8842905417723438,-0.041207876456742634,1.0002609814622259,,,7,depreciation,-0.041207876456742634,0.07352397386909898,2011-09-14,10-K
858877,CSCO,Cisco,False,2012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,9,,0.8725701158741601,1.1172413931754432,0.9665831566307068,1.0657827756953122,,1.1418660160664713,-0.03759849170108654,0.9572731932835087,,,7,depreciation,-0.03759849170108654,0.05355072047763936,2012-09-12,10-K
858877,CSCO,Cisco,False,2013,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,7.0,9,,1.186423735516394,1.0111494272894734,1.1100835267525384,1.0552745272573327,,0.9239506005088146,-0.028767380498265657,0.9358901301881103,,,7,depreciation,-0.028767380498265657,0.10279100687670964,2013-09-10,10-K
858877,CSCO,Cisco,False,2014,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,9,,0.9720768913431799,1.0282216670747133,1.0345011412346587,0.9698603081860637,,0.8807869292879958,-0.04260277360321114,1.1019915526613113,,,7,,-0.04260277360321114,0.03896591594114101,2014-09-09,10-K
858877,CSCO,Cisco,False,2015,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,8.0,9,,0.9937030279077688,0.9756508257759999,0.9024106853229358,1.0428280514191166,1.08600833129135,1.0114886008526067,-0.0314678228073422,1.0386515374434202,-2.651835116486502,False,8,,-0.0314678228073422,0.07939391633534347,2015-09-08,10-K
858877,CSCO,Cisco,False,2016,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,9,,1.0922135831186532,0.9603657164375848,1.0860097635801331,1.0017493541628526,1.11836642599278,0.8876628495733989,-0.023271298457896293,1.0221018889729563,-2.4629616311682643,False,8,,-0.023271298457896293,0.0720032428336021,2016-09-08,10-K
858877,CSCO,Cisco,False,2017,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,6.0,9,,0.9028799181403324,0.998517557959127,1.017099264156972,0.9747801896562227,0.8921438082556591,1.1271022622942046,-0.03286909365419279,1.0113524500345565,-2.7774929643501785,False,8,,-0.03286909365419279,0.06712590010850623,2017-09-07,10-K
858877,CSCO,Cisco,False,2018,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,9,,1.0502953726850013,1.0147755811039392,1.2253695744809854,1.027601291532132,0.9285391225689734,1.0468702083076293,-0.12461391381085454,1.0603377217227896,-2.9293357046277597,False,8,,-0.12461391381085454,-0.16202683757260164,2018-09-06,10-K
